epoch,train_loss,val_acc
1,2.2950058684172454,0.122
2,2.0772819174660575,0.545
3,0.9272218719411779,0.7701666666666667
4,0.5207754529758736,0.8786666666666667
5,0.3541074969856827,0.914
6,0.2590546492084309,0.9388333333333333
7,0.2028870032540074,0.9478333333333333
8,0.16836694779881725,0.9566666666666667
9,0.14354631790849898,0.9576666666666667
10,0.12524537350734075,0.9326666666666666
11,0.11109289287968918,0.963
12,0.09860727703240182,0.9618333333333333
13,0.08909419977223432,0.9668333333333333
14,0.08205744155634333,0.96
15,0.07317271832293934,0.964
16,0.06756917395967024,0.9698333333333333
17,0.06165508759449478,0.9716666666666667
18,0.05537749477199934,0.9716666666666667
19,0.05040637488525223,0.9713333333333334
20,0.04589311080191422,0.9726666666666667
